WarID,PolityID,StartDate,StartDate_Prec,EndDate,EndDate_Prec,Side,IsInitiator,Outcome,Deaths
1,220,1823-04-07,Day,1823-11-13,Day,A,1,1,400
1,230,1823-04-07,Day,1823-11-13,Day,B,0,2,600
4,365,1828-04-26,Day,1829-09-14,Day,A,1,1,50000
4,640,1828-04-26,Day,1829-09-14,Day,B,0,2,80000
7,2,1846-04-25,Day,1847-09-14,Day,A,1,1,13283
7,70,1846-04-25,Day,1847-09-14,Day,B,0,2,6000
10,300,1848-03-24,Day,1848-08-09,Day,A,0,1,3927
10,300,1849-03-12,Day,1849-03-30,Day,A,0,1,3927
10,337,1848-03-29,Day,1848-08-09,Day,B,0,2,100
10,325,1848-03-24,Day,1848-08-09,Day,B,1,2,3400
10,332,1848-04-09,Day,1848-08-09,Day,B,0,2,100
10,325,1849-03-12,Day,1849-03-30,Day,B,1,2,3400
13,255,1848-04-10,Day,1848-08-26,Day,A,1,1,2500
13,255,1849-03-25,Day,1849-07-10,Day,A,1,1,2500
13,390,1848-04-10,Day,1848-08-26,Day,B,0,2,3500
13,390,1849-03-25,Day,1849-07-10,Day,B,0,2,3500
16,220,1849-04-30,Day,1849-07-02,Day,A,1,1,1000
16,329,1849-05-08,Day,1849-07-02,Day,A,0,1,100
16,300,1849-05-08,Day,1849-07-02,Day,A,0,1,100
16,327,1849-04-30,Day,1849-07-02,Day,B,0,2,1400
19,140,1851-07-19,Day,1852-02-03,Day,A,1,1,500
19,160,1851-07-19,Day,1852-02-03,Day,B,0,2,800
22,640,1853-10-23,Day,1856-03-01,Day,A,1,1,45000
22,220,1854-03-31,Day,1856-03-01,Day,A,0,1,95000
22,200,1854-03-31,Day,1856-03-01,Day,A,0,1,22000
22,325,1855-01-10,Day,1856-03-01,Day,A,0,1,2200
22,365,1853-10-23,Day,1856-03-01,Day,B,0,2,100000
25,200,1856-10-25,Day,1857-04-05,Day,A,1,1,500
25,630,1856-10-25,Day,1857-04-05,Day,B,0,2,1500
28,325,1859-04-29,Day,1859-07-12,Day,A,0,1,2500
28,220,1859-05-03,Day,1859-07-12,Day,A,0,1,7500
28,300,1859-04-29,Day,1859-07-12,Day,B,1,2,12500
31,230,1859-10-22,Day,1860-03-25,Day,A,1,1,4000
31,600,1859-10-22,Day,1860-03-25,Day,B,0,2,6000
34,325,1860-09-11,Day,1860-09-29,Day,A,1,1,300
34,327,1860-09-11,Day,1860-09-29,Day,B,0,2,700
37,325,1860-10-15,Day,1861-02-13,Day,A,1,1,600
37,329,1860-10-15,Day,1861-02-13,Day,B,0,2,400
40,70,1862-04-16,Day,1867-02-05,Day,A,0,4,12000
40,220,1862-04-16,Day,1867-02-05,Day,B,1,4,8000
43,100,1863-11-22,Day,1863-12-06,Day,A,1,1,300
43,130,1863-11-22,Day,1863-12-06,Day,B,0,2,700
46,255,1864-02-01,Day,1864-04-25,Day,A,1,1,1048
46,300,1864-02-01,Day,1864-04-25,Day,A,0,1,500
46,255,1864-06-25,Day,1864-07-20,Day,A,1,1,1048
46,300,1864-06-25,Day,1864-07-20,Day,A,0,1,500
46,390,1864-02-01,Day,1864-04-25,Day,B,0,2,2933
46,390,1864-06-25,Day,1864-07-20,Day,B,0,2,2933
49,140,1864-11-12,Day,1870-03-01,Day,A,0,1,100000
49,160,1865-03-05,Day,1870-03-01,Day,A,0,1,10000
49,150,1864-11-12,Day,1870-03-01,Day,B,1,2,200000
52,155,1865-09-25,Day,1866-05-09,Day,A,0,1,100
52,135,1866-01-14,Day,1866-05-09,Day,A,0,1,600
52,230,1865-09-25,Day,1866-05-09,Day,B,1,2,300
55,325,1866-06-20,Day,1866-07-26,Day,A,0,1,4000
55,255,1866-06-15,Day,1866-07-26,Day,A,1,1,10000
55,280,1866-06-15,Day,1866-07-26,Day,A,0,1,100
55,275,1866-06-15,Day,1866-07-26,Day,B,0,2,100
55,271,1866-06-15,Day,1866-07-26,Day,B,0,2,100
55,245,1866-06-15,Day,1866-07-26,Day,B,0,2,500
55,300,1866-06-15,Day,1866-07-26,Day,B,0,2,28000
55,273,1866-06-15,Day,1866-07-26,Day,B,0,2,100
55,269,1866-06-15,Day,1866-07-26,Day,B,0,2,600
55,267,1866-06-15,Day,1866-07-26,Day,B,0,2,100
55,240,1866-06-15,Day,1866-06-29,Day,B,0,2,500
58,271,1870-07-19,Day,1870-11-25,Day,A,0,1,976
58,267,1870-07-19,Day,1870-11-22,Day,A,0,1,956
58,255,1870-07-19,Day,1871-02-26,Day,A,0,1,44781
58,245,1870-07-19,Day,1870-11-15,Day,A,0,1,5600
58,220,1870-07-19,Day,1871-02-26,Day,B,1,2,152000
60,90,1876-03-27,Day,1876-04-25,Day,A,1,1,2000
60,92,1876-03-27,Day,1876-04-25,Day,B,0,2,2000
61,365,1877-04-24,Day,1878-01-31,Day,A,1,1,120000
61,640,1877-04-24,Day,1878-01-31,Day,B,0,2,165000
64,155,1879-02-14,Day,1883-12-11,Day,A,1,1,3276
64,135,1879-04-05,Day,1883-10-23,Day,B,0,2,9672
64,145,1879-02-14,Day,1883-12-11,Day,B,0,2,920
65,200,1882-07-11,Day,1882-09-15,Day,A,1,1,79
65,651,1882-07-11,Day,1882-09-15,Day,B,0,2,10000
67,220,1884-06-15,Day,1885-06-09,Day,A,1,1,2100
67,710,1884-06-15,Day,1885-06-09,Day,B,0,2,10000
70,92,1885-03-28,Day,1885-04-15,Day,A,0,1,200
70,90,1885-03-28,Day,1885-04-15,Day,B,1,2,800
73,740,1894-07-25,Day,1895-03-30,Day,A,1,1,5000
73,710,1894-07-25,Day,1895-03-30,Day,B,0,2,10000
76,640,1897-02-15,Day,1897-05-19,Day,A,0,1,1400
76,350,1897-02-15,Day,1897-05-19,Day,B,1,2,600
79,2,1898-04-22,Day,1898-08-12,Day,A,1,1,2910
79,230,1898-04-22,Day,1898-08-12,Day,B,0,2,775
82,365,1900-06-17,Day,1900-08-14,Day,A,1,1,302
82,740,1900-06-17,Day,1900-08-14,Day,A,1,1,622
82,2,1900-06-17,Day,1900-08-14,Day,A,1,1,21
82,200,1900-06-17,Day,1900-08-14,Day,A,1,1,34
82,220,1900-06-17,Day,1900-08-14,Day,A,1,1,24
82,710,1900-06-17,Day,1900-08-14,Day,B,0,2,2000
